f0_,date
0.0123,2018-03-01T00:00:00
0.0119,2018-03-02T00:00:00
0.0119,2018-03-03T00:00:00
0.0352,2018-03-04T00:00:00
0.0405,2018-03-05T00:00:00
0.0433,2018-03-06T00:00:00
0.0645,2018-03-07T00:00:00
0.0612,2018-03-08T00:00:00
0.0262,2018-03-09T00:00:00
0.0143,2018-03-10T00:00:00
0.025,2018-03-11T00:00:00
0.0361,2018-03-12T00:00:00
0.0202,2018-03-13T00:00:00
0.04,2018-03-14T00:00:00
0.0102,2018-03-15T00:00:00
0.0241,2018-03-16T00:00:00
0.0365,2018-03-17T00:00:00
0.0183,2018-03-18T00:00:00
0.0628,2018-03-19T00:00:00
0.0135,2018-03-20T00:00:00
0.0125,2018-03-21T00:00:00
0.0108,2018-03-22T00:00:00
0.0136,2018-03-23T00:00:00
0.0166,2018-03-24T00:00:00
0.0045,2018-03-25T00:00:00
0.0292,2018-03-26T00:00:00
0.0223,2018-03-27T00:00:00
0.0329,2018-03-28T00:00:00
0.0235,2018-03-29T00:00:00
0.0238,2018-03-30T00:00:00
0.0221,2018-03-31T00:00:00
0.0164,2018-04-01T00:00:00
0.0124,2018-04-02T00:00:00
0.0232,2018-04-03T00:00:00
0.0262,2018-04-04T00:00:00
0.0151,2018-04-05T00:00:00
0.0088,2018-04-06T00:00:00
0.0057,2018-04-07T00:00:00
0.0093,2018-04-08T00:00:00
0.0326,2018-04-09T00:00:00
0.0373,2018-04-10T00:00:00
0.0118,2018-04-11T00:00:00
0.0053,2018-04-12T00:00:00
0.0158,2018-04-13T00:00:00
0.0199,2018-04-14T00:00:00
0.0144,2018-04-15T00:00:00
0.0114,2018-04-16T00:00:00
0.0202,2018-04-17T00:00:00
0.0216,2018-04-18T00:00:00
0.0191,2018-04-19T00:00:00
0.0166,2018-04-20T00:00:00
0.0114,2018-04-21T00:00:00
0.0146,2018-04-22T00:00:00
0.0279,2018-04-23T00:00:00
0.0233,2018-04-24T00:00:00
0.0175,2018-04-25T00:00:00
0.015,2018-04-26T00:00:00
0.0072,2018-04-27T00:00:00
0.0062,2018-04-28T00:00:00
0.006,2018-04-29T00:00:00
0.011,2018-04-30T00:00:00
0.0093,2018-05-01T00:00:00
0.0197,2018-05-02T00:00:00
0.0153,2018-05-03T00:00:00
0.0207,2018-05-04T00:00:00
0.0151,2018-05-05T00:00:00
0.0058,2018-05-06T00:00:00
0.0095,2018-05-07T00:00:00
0.0216,2018-05-08T00:00:00
0.0079,2018-05-09T00:00:00
0.0101,2018-05-10T00:00:00
0.0102,2018-05-11T00:00:00
0.0089,2018-05-12T00:00:00
0.0071,2018-05-13T00:00:00
0.009,2018-05-14T00:00:00
0.0066,2018-05-15T00:00:00
0.006,2018-05-16T00:00:00
0.0072,2018-05-17T00:00:00
0.0103,2018-05-18T00:00:00
0.0079,2018-05-19T00:00:00
0.0049,2018-05-20T00:00:00
0.0157,2018-05-21T00:00:00
0.0165,2018-05-22T00:00:00
0.008,2018-05-23T00:00:00
0.0068,2018-05-24T00:00:00
0.006,2018-05-25T00:00:00
0.0081,2018-05-26T00:00:00
0.016,2018-05-27T00:00:00
0.0186,2018-05-28T00:00:00
0.0264,2018-05-29T00:00:00
0.0099,2018-05-30T00:00:00
0.0061,2018-05-31T00:00:00
0.0177,2018-06-01T00:00:00
0.0192,2018-06-02T00:00:00
0.0177,2018-06-03T00:00:00
0.0113,2018-06-04T00:00:00
0.0136,2018-06-05T00:00:00
0.011,2018-06-06T00:00:00
0.0082,2018-06-07T00:00:00
0.0106,2018-06-08T00:00:00
0.0052,2018-06-09T00:00:00
0.0079,2018-06-10T00:00:00
0.0176,2018-06-11T00:00:00
0.0192,2018-06-12T00:00:00
0.0229,2018-06-13T00:00:00
0.0122,2018-06-14T00:00:00
0.0187,2018-06-15T00:00:00
0.0106,2018-06-16T00:00:00
0.0113,2018-06-17T00:00:00
0.0108,2018-06-18T00:00:00
0.0137,2018-06-19T00:00:00
0.0132,2018-06-20T00:00:00
0.0099,2018-06-21T00:00:00
0.0185,2018-06-22T00:00:00
0.0217,2018-06-23T00:00:00
0.0121,2018-06-24T00:00:00
0.01,2018-06-25T00:00:00
0.0152,2018-06-26T00:00:00
0.0212,2018-06-27T00:00:00
0.015,2018-06-28T00:00:00
0.0121,2018-06-29T00:00:00
0.0146,2018-06-30T00:00:00
0.0128,2018-07-01T00:00:00
0.0145,2018-07-02T00:00:00
0.0201,2018-07-03T00:00:00
0.0099,2018-07-04T00:00:00
0.0155,2018-07-05T00:00:00
0.0126,2018-07-06T00:00:00
0.0106,2018-07-07T00:00:00
0.0084,2018-07-08T00:00:00
0.0165,2018-07-09T00:00:00
0.0221,2018-07-10T00:00:00
0.0186,2018-07-11T00:00:00
0.0154,2018-07-12T00:00:00
0.0129,2018-07-13T00:00:00
0.0094,2018-07-14T00:00:00
0.0098,2018-07-15T00:00:00
0.0118,2018-07-16T00:00:00
0.0193,2018-07-17T00:00:00
0.0333,2018-07-18T00:00:00
0.0233,2018-07-19T00:00:00
0.0238,2018-07-20T00:00:00
0.0107,2018-07-21T00:00:00
0.0074,2018-07-22T00:00:00
0.0089,2018-07-23T00:00:00
0.0133,2018-07-24T00:00:00
0.0178,2018-07-25T00:00:00
0.0257,2018-07-26T00:00:00
0.0205,2018-07-27T00:00:00
0.0176,2018-07-28T00:00:00
0.0163,2018-07-29T00:00:00
0.0286,2018-07-30T00:00:00
0.0228,2018-07-31T00:00:00
0.0249,2018-08-01T00:00:00
0.0157,2018-08-02T00:00:00
0.0228,2018-08-03T00:00:00
0.0134,2018-08-04T00:00:00
0.0109,2018-08-05T00:00:00
0.0196,2018-08-06T00:00:00
0.0266,2018-08-07T00:00:00
0.0274,2018-08-08T00:00:00
0.0266,2018-08-09T00:00:00
0.0342,2018-08-10T00:00:00
0.0162,2018-08-11T00:00:00
0.013,2018-08-12T00:00:00
0.0208,2018-08-13T00:00:00
0.0166,2018-08-14T00:00:00
0.0122,2018-08-15T00:00:00
0.0166,2018-08-16T00:00:00
0.0184,2018-08-17T00:00:00
0.015,2018-08-18T00:00:00
0.0127,2018-08-19T00:00:00
0.0294,2018-08-20T00:00:00
0.0151,2018-08-21T00:00:00
0.0101,2018-08-22T00:00:00
0.0106,2018-08-23T00:00:00
0.0104,2018-08-24T00:00:00
0.0146,2018-08-25T00:00:00
0.0137,2018-08-26T00:00:00
0.0216,2018-08-27T00:00:00
0.0099,2018-08-28T00:00:00
0.0091,2018-08-29T00:00:00
0.0087,2018-08-30T00:00:00
0.0102,2018-08-31T00:00:00
0.0131,2018-09-01T00:00:00
0.0161,2018-09-02T00:00:00
0.0162,2018-09-03T00:00:00
0.0244,2018-09-04T00:00:00
0.0296,2018-09-05T00:00:00
0.0181,2018-09-06T00:00:00
0.0281,2018-09-07T00:00:00
0.0199,2018-09-08T00:00:00
0.0124,2018-09-09T00:00:00
0.0276,2018-09-10T00:00:00
0.034,2018-09-11T00:00:00
0.0136,2018-09-12T00:00:00
0.0149,2018-09-13T00:00:00
0.0303,2018-09-14T00:00:00
0.0114,2018-09-15T00:00:00
0.0079,2018-09-16T00:00:00
0.0277,2018-09-17T00:00:00
0.0139,2018-09-18T00:00:00
0.0238,2018-09-19T00:00:00
0.0568,2018-09-20T00:00:00
0.0359,2018-09-21T00:00:00
0.0217,2018-09-22T00:00:00
0.0133,2018-09-23T00:00:00
0.0431,2018-09-24T00:00:00
0.063,2018-09-25T00:00:00
0.0289,2018-09-26T00:00:00
0.028,2018-09-27T00:00:00
0.0491,2018-09-28T00:00:00
0.0091,2018-09-29T00:00:00
0.0147,2018-09-30T00:00:00
0.0345,2018-10-01T00:00:00
0.0258,2018-10-02T00:00:00
0.0132,2018-10-03T00:00:00
0.0145,2018-10-04T00:00:00
0.0139,2018-10-05T00:00:00
0.0159,2018-10-06T00:00:00
0.0348,2018-10-07T00:00:00
0.0332,2018-10-08T00:00:00
0.0304,2018-10-09T00:00:00
0.0225,2018-10-10T00:00:00
0.021,2018-10-11T00:00:00
0.0464,2018-10-12T00:00:00
0.0361,2018-10-13T00:00:00
0.0225,2018-10-14T00:00:00
0.0426,2018-10-15T00:00:00
0.0509,2018-10-16T00:00:00
0.0435,2018-10-17T00:00:00
0.0557,2018-10-18T00:00:00
0.0543,2018-10-19T00:00:00
0.0496,2018-10-20T00:00:00
0.0357,2018-10-21T00:00:00
0.0465,2018-10-22T00:00:00
0.0433,2018-10-23T00:00:00
0.0369,2018-10-24T00:00:00
0.0579,2018-10-25T00:00:00
0.0495,2018-10-26T00:00:00
0.0508,2018-10-27T00:00:00
0.04,2018-10-28T00:00:00
0.0152,2018-10-29T00:00:00
0.0259,2018-10-30T00:00:00
0.0301,2018-10-31T00:00:00
0.0577,2018-11-01T00:00:00
0.05,2018-11-02T00:00:00
0.0354,2018-11-03T00:00:00
0.0427,2018-11-04T00:00:00
0.0399,2018-11-05T00:00:00
0.0581,2018-11-06T00:00:00
0.0387,2018-11-07T00:00:00
0.0441,2018-11-08T00:00:00
0.0774,2018-11-09T00:00:00
0.0443,2018-11-10T00:00:00
0.0579,2018-11-11T00:00:00
0.0753999,2018-11-12T00:00:00
0.0771,2018-11-13T00:00:00
0.1049,2018-11-14T00:00:00
0.0743,2018-11-15T00:00:00
0.0976,2018-11-16T00:00:00
0.0584,2018-11-17T00:00:00
0.0592,2018-11-18T00:00:00
0.09,2018-11-19T00:00:00
0.0818999,2018-11-20T00:00:00
0.0285,2018-11-21T00:00:00
0.0309,2018-11-22T00:00:00
0.0193,2018-11-23T00:00:00
0.014,2018-11-24T00:00:00
0.0438,2018-11-25T00:00:00
0.0553,2018-11-26T00:00:00
0.0739,2018-11-27T00:00:00
0.0127,2018-11-28T00:00:00
0.0224,2018-11-29T00:00:00
0.0177,2018-11-30T00:00:00
0.0423,2018-12-01T00:00:00
0.0458,2018-12-02T00:00:00
0.0479,2018-12-03T00:00:00
0.0361,2018-12-04T00:00:00
0.0233,2018-12-05T00:00:00
0.0499,2018-12-06T00:00:00
0.0716,2018-12-07T00:00:00
0.0504,2018-12-08T00:00:00
0.02,2018-12-09T00:00:00
0.0142,2018-12-10T00:00:00
0.0613,2018-12-11T00:00:00
0.0642,2018-12-12T00:00:00
0.0668,2018-12-13T00:00:00
0.1047,2018-12-14T00:00:00
0.0598,2018-12-15T00:00:00
0.035,2018-12-16T00:00:00
0.0254,2018-12-17T00:00:00
0.0763,2018-12-18T00:00:00
0.0773,2018-12-19T00:00:00
0.0723,2018-12-20T00:00:00
0.0296,2018-12-21T00:00:00
0.0235,2018-12-22T00:00:00
0.0224,2018-12-23T00:00:00
0.031,2018-12-24T00:00:00
0.0349,2018-12-25T00:00:00
0.0612,2018-12-26T00:00:00
0.0653999,2018-12-27T00:00:00
0.0658,2018-12-28T00:00:00
0.0583,2018-12-29T00:00:00
0.0661,2018-12-30T00:00:00
0.0648,2018-12-31T00:00:00
0.0638,2019-01-01T00:00:00
