max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
97,11.2,0.0,2017-02-01T00:00:00,0.0,2017,107,0.0433999933302402,37.8,0.1083,pm25
83,11.7,0.0,2017-01-15T00:00:00,0.0,2017,56,0.0238000005483627,14.7,0.007,pm25
95,11.7,0.0,2017-01-19T00:00:00,0.0,2017,39,0.0421000048518181,8.6,0.0433,ozone
95,11.7,0.0,2017-01-16T00:00:00,0.0,2017,122,0.026199996471405,44.0,0.048,pm25
95,12.2,0.0,2017-02-25T00:00:00,0.0,2017,72,0.0471999943256378,22.2,0.0439,pm25
97,12.2,0.0,2017-02-05T00:00:00,0.0,2017,56,0.035300001502037,14.7,0.0313,pm25
98,12.2,0.0,2017-01-13T00:00:00,0.0,2017,50,0.0276999957859516,11.9,0.0071,pm25
97,12.7,0.0,2017-03-08T00:00:00,0.0,2017,74,0.0461999960243702,23.2,0.0427,pm25
93,12.7,0.0,2017-03-05T00:00:00,0.0,2017,65,0.0466000027954578,18.7,0.0391,pm25
96,13.2,0.0,2017-01-09T00:00:00,0.0,2017,54,0.0303999930620193,13.3,0.0097,pm25
97,13.7,0.0,2017-02-10T00:00:00,0.0,2017,51,0.0364999994635582,12.3,0.0694,pm25
91,13.7,0.0,2017-02-18T00:00:00,0.0,2017,53,0.0496000051498413,13.2,0.0105,pm25
94,13.7,0.0,2017-02-11T00:00:00,0.0,2017,59,0.0321000032126904,16.1,0.0148,pm25
97,15.2,0.0,2017-03-25T00:00:00,0.25,2017,60,0.0459999963641167,16.5,0.016,pm25
98,15.2,0.0,2017-03-13T00:00:00,0.0,2017,100,0.0707999467849731,24.9,0.0379,ozone
90,15.7,0.0,2017-04-02T00:00:00,0.25,2017,78,0.0632999539375305,14.5,0.0185,ozone
97,15.7,0.0,2017-04-03T00:00:00,0.25,2017,58,0.0556000024080276,15.5,0.0374,pm25
80,15.7,0.0,2017-04-04T00:00:00,0.25,2017,88,0.0661999583244324,15.2,0.0301,ozone
85,15.7,0.0,2017-03-15T00:00:00,0.0,2017,78,0.0631999969482422,19.7,0.0416,ozone
95,16.4,0.0,2017-11-14T00:00:00,0.75,2017,71,0.0362999998033047,21.5,0.0587,pm25
97,16.4,0.0,2017-11-13T00:00:00,0.75,2017,71,0.0466999933123589,21.5,0.0549,pm25
76,17.4,0.0,2017-10-12T00:00:00,0.75,2017,114,0.0556000024080276,40.7,0.033,pm25
95,17.4,0.0,2017-11-06T00:00:00,0.75,2017,74,0.0436999946832657,23.2,0.0579,pm25
84,18.4,0.0,2017-10-07T00:00:00,0.75,2017,201,0.0859999656677246,24.3,0.034,ozone
94,18.4,0.0,2017-10-25T00:00:00,0.75,2017,129,0.0788999795913696,22.6,0.0312,ozone
84,18.4,0.0,2017-10-08T00:00:00,0.75,2017,74,0.0621000044047832,19.6,0.028,ozone
83,19.4,1.5,2017-05-28T00:00:00,0.25,2017,66,0.0594999976456165,12.5,0.0085,ozone
66,19.4,3.6,2017-05-12T00:00:00,0.25,2017,44,0.0474999994039536,9.6,0.0038,ozone
86,19.4,0.0,2017-05-26T00:00:00,0.25,2017,73,0.0466999933123589,22.7,0.0172,pm25
95,19.4,0.0,2017-05-07T00:00:00,0.25,2017,68,0.0538999922573566,20.3,0.0427,pm25
