date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi,max_dp,min_dp,max_bar_press,min_bar_press,max_oTemp,min_oTemp
2015-05-28T00:00:00,5,2015,0.25,101,77,1003.9,999.9,4539121.9200000418,0.78,0.78,19.2,5.1,2.1,0.011,0.062999963760376,18.0,ozone,77,7.05,1.48888,1003.52,999.656,31.3,11.5
2013-11-29T00:00:00,11,2013,0.75,119,100,1007.9,1003.9,1648396.8000000601,0.31,0.0,13.5,3.6,0.0,0.077,0.044999998062849,43.0,pm25,119,-2.82779,-6.71112,1007.92,1003.92,18.9,4.6
2013-12-06T00:00:00,12,2013,0.75,134,100,1007.9,1002.57,1584069.1199999813,0.25,0.0,10.2,6.2,0.0,0.076,0.0309999994933605,44.0,pm25,122,-5.7389,-13.6722,1007.92,1002.59,10.3,-5.6
2012-01-06T00:00:00,1,2012,0.0,184,99,1007.9,1005.23,1531802.8799999941,0.25,0.25,10.7,3.1,0.0,0.155,0.040999997407198,117.0,pm25,183,-4.89446,-13.55,1007.92,1005.26,16.0,1.0
2015-04-26T00:00:00,4,2015,0.25,70,80,1007.9,1003.9,4265729.2799997851,0.69,0.69,16.6,6.2,0.0,0.01,0.056999996304512,28.0,pm25,84,5.98333,-1.3889,1007.39,1003.79,24.2,7.5
2015-03-27T00:00:00,3,2015,0.25,104,65,1007.9,1003.9,3722964.48000026,0.66,0.66,16.4,6.7,0.0,0.057,0.0739999413490295,26.0,ozone,111,3.12222,-0.233341,1008.19,1003.79,31.1,13.0
2015-03-28T00:00:00,3,2015,0.25,111,76,1007.9,1005.23,3674718.7200002903,0.63,0.63,16.7,6.2,0.0,0.016,0.0559999980032444,24.0,pm25,76,6.47778,-4.56668,1008.32,1004.59,27.3,11.2
2012-01-20T00:00:00,1,2012,0.0,151,100,1007.9,998.567,522662.40000002278,0.15,0.15,9.7,5.7,1.5,0.036,0.0319999977946281,62.0,pm25,154,5.55555,-7.72224,1007.92,998.589,13.7,7.6
2012-11-29T00:00:00,11,2012,0.75,25,100,1007.9,1003.9,631215.35999999358,0.15,0.15,14.3,6.2,0.0,0.025,0.0379999987781048,12.0,pm25,50,6.52777,4.71111,1007.92,1003.92,17.7,9.3
2016-03-03T00:00:00,3,2016,0.0,105,53,1007.9,1005.1,2380124.1599999107,0.41,0.41,13.2,4.6,0.0,0.0241,0.0476999953389168,29.0,pm25,87,-0.133341,-11.1389,1007.92,1005.26,21.9,10.2
