date,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_ws_93612,max_wss_93612,max_wd_93612,max_wds_93612,min_wd_93612,min_wds_93612,nox,pm25,ozone,aqi
2013-07-10T00:00:00,86,999.9,995.9,3453592.3199998825,0.76,0.0,25.2,3.576,3.576,355,341.0,53,110.0,0.036,33.0,0.104999959468842,200
2013-08-04T00:00:00,93,998.567,995.9,4587367.6799997948,0.77,0.0,25.7,3.576,3.576,323,325.0,154,154.0,0.011,20.0,0.0879999995231628,201
2013-06-05T00:00:00,89,999.9,994.567,4691900.1599998344,0.79,0.0,23.5,3.576,3.576,318,319.0,256,256.0,0.01,16.0,0.0739999413490295,111
2013-05-09T00:00:00,100,1005.23,1002.57,4000377.5999998748,0.7,0.0,19.0,3.576,3.576,327,328.0,281,279.0,0.015,20.0,0.0599999986588955,68
2013-05-28T00:00:00,99,1001.23,995.9,4378302.7200001618,0.8,0.0,20.0,6.705,7.152,319,318.0,294,294.0,0.009,8.0,0.0529999993741512,49
2013-05-21T00:00:00,71,998.567,994.567,4623551.9999999944,0.83,0.0,20.9,7.152,7.152,337,354.0,57,59.0,0.036,14.0,0.0719999670982361,104
2013-10-22T00:00:00,84,1001.23,997.234,2565066.2399999793,0.44,0.0,18.6,1.788,1.788,330,331.0,17,12.0,0.0919999,32.0,0.0899999737739563,201
2013-12-01T00:00:00,100,1013.23,1009.23,1716744.9600000591,0.3,0.0,13.2,1.788,1.788,295,294.0,13,16.0,0.072,51.0,0.0499999970197678,139
2013-12-21T00:00:00,84,1003.9,999.9,1572007.6799999962,0.26,0.0,9.9,1.341,1.788,341,329.0,13,12.0,0.085,46.0,0.0359999984502792,127
2013-02-16T00:00:00,100,1010.57,1002.57,2034362.8799999666,0.38,0.0,10.8,1.788,1.788,353,338.0,5,1.0,0.058,28.0,0.0469999983906746,84
2013-11-19T00:00:00,100,1003.9,999.9,1495618.5599999558,0.28,0.0,14.2,1.341,1.788,316,326.0,82,81.0,0.075,33.0,0.0399999991059303,95
2013-12-22T00:00:00,85,1011.9,1003.9,1503659.5199999893,0.26,0.0,9.7,1.341,1.788,360,275.0,14,16.0,0.124,51.0,0.0439999997615814,139
2013-02-11T00:00:00,98,1010.57,1003.9,2247448.3200000376,0.35,0.0,9.3,1.341,1.788,358,354.0,1,1.0,0.056,22.0,0.0469999983906746,72
2013-12-11T00:00:00,87,1010.57,1007.9,1672519.6800000274,0.24,0.0,9.1,1.341,1.788,300,300.0,37,38.0,0.183,51.0,0.0269999988377094,139
2013-01-15T00:00:00,100,1018.56,1015.9,1764990.719999942,0.26,0.0,7.6,1.788,1.788,357,356.0,13,14.0,0.149,54.0,0.0389999970793724,147
2013-12-16T00:00:00,83,1010.57,1006.57,1499639.0399999083,0.28,0.0,9.3,1.788,1.788,309,336.0,28,36.0,0.0829999,92.0,0.0459999963641167,170
2013-03-10T00:00:00,100,1014.57,1010.57,3224424.9599998104,0.59,0.0,12.4,1.341,1.788,359,307.0,1,2.0,0.041,29.0,0.0529999993741512,87
2013-12-26T00:00:00,83,1010.57,1007.9,1660458.239999973,0.27,0.0,9.7,1.788,1.788,354,347.0,26,20.0,0.134,68.0,0.0519999973475933,157
2013-12-28T00:00:00,88,1005.23,1002.57,1636335.3599999661,0.28,0.0,9.7,1.788,1.788,360,358.0,11,7.0,0.125,78.0,0.0329999998211861,163
2013-01-13T00:00:00,100,1010.57,1006.57,1712724.4800000575,0.24,0.0,8.4,2.682,3.129,360,354.0,31,0.0,0.103,52.0,0.0379999987781048,142
2013-08-30T00:00:00,89,1001.23,995.9,3907906.5600001519,0.7,0.0,26.3,3.129,3.129,346,347.0,55,32.0,0.019,59.0,0.0919999480247498,201
2013-06-24T00:00:00,100,997.234,993.234,2351980.8000000045,0.49,0.0,22.6,3.129,3.129,352,353.0,47,50.0,0.009,8.0,0.040999997407198,38
2013-05-04T00:00:00,77,994.567,986.568,4277790.7199996272,0.76,0.0,21.5,3.129,3.129,351,351.0,8,14.0,0.027,20.0,0.0889999866485596,201
2013-07-08T00:00:00,85,998.567,995.9,4900965.1200001668,0.86,0.0,25.6,3.129,3.129,315,315.0,167,164.0,0.022,21.0,0.0419999994337559,70
2013-02-25T00:00:00,100,1011.9,1006.57,2846499.8399999575,0.51,0.0,10.2,2.682,3.129,334,336.0,56,8.0,0.073,26.0,0.0459999963641167,80
2013-09-18T00:00:00,100,995.9,993.234,3578227.2000000817,0.58,0.0,24.5,3.129,3.129,317,322.0,164,168.0,0.022,14.0,0.0679999589920044,93
2013-08-02T00:00:00,82,999.9,995.9,4691900.1599999843,0.75,0.0,25.8,3.129,3.129,334,350.0,143,143.0,0.028,13.0,0.0659999847412109,87
2013-08-18T00:00:00,78,995.9,990.568,3373182.7200000235,0.71,0.0,26.3,2.682,3.129,346,341.0,67,75.0,0.014,15.0,0.0779999494552612,125
2013-05-01T00:00:00,62,1003.9,995.9,4442630.3999998057,0.73,0.0,17.3,2.682,3.129,322,323.0,87,86.0,0.032,20.0,0.0759999752044678,118
2013-07-06T00:00:00,87,994.567,990.568,4780350.72000027,0.81,0.0,26.4,3.129,3.129,326,325.0,194,190.0,0.01,25.0,0.0809999704360962,136
2013-02-24T00:00:00,100,1010.57,1006.57,2782172.1600000351,0.49,0.0,9.8,2.682,3.129,347,350.0,44,46.0,0.044,20.0,0.0479999966919422,68
2013-02-06T00:00:00,100,1007.9,1005.23,755850.23999999848,0.07,0.0,11.3,2.682,3.129,342,341.0,52,47.0,0.09,34.0,0.023999996483326,97
2013-05-20T00:00:00,70,1001.23,997.234,4792412.1600000691,0.76,0.0,20.5,2.682,3.129,333,340.0,16,13.0,0.022,16.0,0.0819999575614929,139
2013-09-09T00:00:00,85,991.901,987.901,3425448.9600000405,0.68,0.0,25.9,3.129,3.129,358,359.0,11,1.0,0.032,19.0,0.0969999432563782,201
2013-02-17T00:00:00,100,1003.9,999.9,2524861.4399999762,0.44,0.0,10.9,3.129,3.129,342,344.0,16,18.0,0.059,32.0,0.0489999987185001,93
2013-08-31T00:00:00,83,998.567,994.567,3276691.20000001,0.66,0.0,26.2,2.682,3.129,306,306.0,65,44.0,0.018,27.0,0.0819999575614929,139
2013-02-09T00:00:00,100,1005.23,999.9,2227345.920000053,0.26,0.0,9.6,3.129,3.129,180,179.0,61,60.0,0.055,51.0,0.0439999997615814,139
2013-05-11T00:00:00,100,1005.23,1001.23,4559224.3199996706,0.77,0.0,20.3,3.129,3.129,336,335.0,36,38.0,0.014,29.0,0.0989999771118164,200
2013-10-08T00:00:00,77,995.9,989.234,2890725.1199998371,0.52,0.0,19.1,3.129,3.129,321,321.0,5,6.0,0.06,18.0,0.0649999976158142,84
2013-09-13T00:00:00,98,995.9,989.234,3505858.5600001337,0.65,0.0,25.4,2.682,3.129,353,348.0,3,3.0,0.031,23.0,0.0789999961853027,129
2013-10-10T00:00:00,92,999.9,994.567,2782172.1600000565,0.46,0.0,18.8,3.129,3.129,355,353.0,24,13.0,0.065,16.0,0.0509999990463257,59
2013-06-07T00:00:00,90,994.567,990.568,4756227.8400004478,0.04,0.0,24.5,3.129,3.129,318,318.0,111,106.0,0.017,24.0,0.0889999866485596,201
2013-05-10T00:00:00,100,1006.57,1002.57,4510978.5599996448,0.72,0.0,19.6,3.129,3.129,341,343.0,271,268.0,0.021,19.0,0.0699999928474426,100
2013-07-20T00:00:00,81,994.567,990.568,4514999.0399998473,0.78,0.0,27.4,3.129,3.129,323,327.0,5,2.0,0.014,26.0,0.122999966144562,80
2013-03-12T00:00:00,100,1007.9,1003.9,3244527.359999856,0.7,0.0,13.5,2.682,3.129,339,340.0,23,23.0,0.061,31.0,0.0599999986588955,91
2013-08-25T00:00:00,95,997.234,993.234,4092848.6399998427,0.7,0.0,26.2,3.129,3.129,324,330.0,178,180.0,0.009,17.0,0.062999963760376,77
